Date,Close
6/12/2023,1700
7/12/2023,1635
8/12/2023,1685
11/12/2023,1655
12/12/2023,1625
13/12/2023,1595
14/12/2023,1640
15/12/2023,1670
18/12/2023,1665
19/12/2023,1640
20/12/2023,1635
21/12/2023,1635
22/12/2023,1665
27/12/2023,1735
28/12/2023,1715
29/12/2023,1705
2/1/2024,1735
3/1/2024,1700
4/1/2024,1685
5/1/2024,1675
8/1/2024,1650
9/1/2024,1645
10/1/2024,1655
11/1/2024,1635
12/1/2024,1625
15/01/2024,1605
16/01/2024,1605
17/01/2024,1605
18/01/2024,1620
19/01/2024,1645
22/01/2024,1645
23/01/2024,1610
24/01/2024,1535
25/01/2024,1555
26/01/2024,1575
29/01/2024,1565
30/01/2024,1565
31/01/2024,1550
1/2/2024,1535
2/2/2024,1525
5/2/2024,1440
6/2/2024,1425
7/2/2024,1410
12/2/2024,1465
13/02/2024,1545
15/02/2024,1540
16/02/2024,1530
19/02/2024,1515
20/02/2024,1505
21/02/2024,1470
22/02/2024,1500
23/02/2024,1550
26/02/2024,1515
27/02/2024,1480
28/02/2024,1490
29/02/2024,1460
1/3/2024,1480
4/3/2024,1460
5/3/2024,1460
6/3/2024,1525
7/3/2024,1575
8/3/2024,1565
13/03/2024,1620
14/03/2024,1645
15/03/2024,1615
18/03/2024,1655
19/03/2024,1660
20/03/2024,1660
21/03/2024,1700
22/03/2024,1670
25/03/2024,1660
26/03/2024,1665
27/03/2024,1635
28/03/2024,1600
1/4/2024,1580
2/4/2024,1640
3/4/2024,1645
4/4/2024,1660
5/4/2024,1670
16/04/2024,1810
17/04/2024,1795
18/04/2024,1725
19/04/2024,1760
22/04/2024,1770
23/04/2024,1740
24/04/2024,1680
25/04/2024,1590
26/04/2024,1595
29/04/2024,1615
30/04/2024,1640
2/5/2024,1510
3/5/2024,1490
6/5/2024,1515
7/5/2024,1505
8/5/2024,1535
13/05/2024,1525
14/05/2024,1525
15/05/2024,1565
16/05/2024,1565
17/05/2024,1620
20/05/2024,1655
21/05/2024,1565
22/05/2024,1525
27/05/2024,1495
28/05/2024,1515
29/05/2024,1525
30/05/2024,1490
31/05/2024,1465
3/6/2024,1470
4/6/2024,1440
5/6/2024,1340
6/6/2024,1315
7/6/2024,1300
10/6/2024,1240
11/6/2024,1255
12/6/2024,1270
13/06/2024,1255
14/06/2024,1210
19/06/2024,1215
20/06/2024,1215
21/06/2024,1230
24/06/2024,1250
25/06/2024,1225
26/06/2024,1215
27/06/2024,1230
28/06/2024,1250
1/7/2024,1305
2/7/2024,1295
3/7/2024,1315
4/7/2024,1325
5/7/2024,1310
8/7/2024,1365
9/7/2024,1345
10/7/2024,1345
11/7/2024,1360
12/7/2024,1360
15/07/2024,1350
16/07/2024,1340
17/07/2024,1380
18/07/2024,1375
19/07/2024,1350
22/07/2024,1340
23/07/2024,1315
24/07/2024,1310
25/07/2024,1280
26/07/2024,1295
29/07/2024,1310
30/07/2024,1300
31/07/2024,1315
1/8/2024,1345
2/8/2024,1345
5/8/2024,1285
6/8/2024,1295
7/8/2024,1295
8/8/2024,1270
9/8/2024,1285
12/8/2024,1310
13/08/2024,1310
14/08/2024,1305
15/08/2024,1385
16/08/2024,1460
19/08/2024,1470
20/08/2024,1475
21/08/2024,1470
22/08/2024,1440
23/08/2024,1450
26/08/2024,1480
27/08/2024,1470
28/08/2024,1450
29/08/2024,1410
30/08/2024,1390
2/9/2024,1395
3/9/2024,1370
4/9/2024,1345
5/9/2024,1345
6/9/2024,1335
9/9/2024,1320
10/9/2024,1320
11/9/2024,1315
12/9/2024,1345
13/09/2024,1335
17/09/2024,1380
18/09/2024,1365
19/09/2024,1375
20/09/2024,1370
23/09/2024,1395
24/09/2024,1410
25/09/2024,1440
26/09/2024,1425
27/09/2024,1470
30/09/2024,1480
1/10/2024,1500
2/10/2024,1535
3/10/2024,1535
4/10/2024,1525
7/10/2024,1545
8/10/2024,1525
9/10/2024,1515
10/10/2024,1535
11/10/2024,1565
14/10/2024,1630
15/10/2024,1600
16/10/2024,1570
17/10/2024,1620
18/10/2024,1625
21/10/2024,1690
22/10/2024,1670
23/10/2024,1650
24/10/2024,1620
25/10/2024,1585
28/10/2024,1610
29/10/2024,1615
30/10/2024,1630
31/10/2024,1600
